patient_ID,first_name,last_name,email,insurance_provider,date_of_birth
1,Michael,Thomas,,Humana,1962-02-15
2,Susan,JACKSON,susan52@outlook.com,Centene,1952-05-29
3,Patricia,Jones,pjones@yahoo.com,wellcare,1945-09-12
4,William,Moore,william.moore@gmail.com,wellcare,1963-12-09
5,Jennifer,Anderson,jennifer1@outlook.com,humana,1985-07-18
6,Thomas,Martin,tmartin@yahoo.com,Bright Health,1988-05-22
7,Karen,Hernandez,karen.hernandez@gmail.com,United Health,1967-08-03
8,John,Williams,,Cigna,1987-10-16
9,Sarah,Garcia,sarah.garcia@GMAIL.COM,centene,1959-01-01
10,Elizabeth,Gonzalez,elizabeth86@outlook.com,cigna,1980-07-03
11,Charles,Moore,charles.moore@GMAIL.COM,,2003-07-03
12,David,Williams,dwilliams@yahoo.com,Oscar Health,1959-03-22
13,Charles,Thomas,,bluecross,1948-09-11
14,Maria,Brown,,bright health,1949-10-20
15,Susan,Garcia,,Centene,1946-10-06
16,Maria,Moore,maria.moore@gmail.com,Centene,1983-07-27
17,Jennifer,Gonzalez,,Oscar Health,1980-10-26
18,Sarah,Thomas,sthomas@yahoo.com,WellCare,1945-03-31
19,Maria,Johnson,,humana,1987-08-25
20,Jennifer,Williams,jennifer.williams@gmail.com,wellcare,1976-03-22
21,Karen,Johnson,karen.johnson@gmail.com,bluecross,1990-09-16
22,David,Davis,,Humana,1966-11-30
23,James,Anderson,james.anderson@GMAIL.COM,,1959-02-14
24,John,Davis,john48@outlook.com,Kaiser Permanente,1988-09-25
25,Thomas,Smith,thomas.smith@GMAIL.COM,WellCare,1949-04-17
26,Patricia,Moore,patricia20@outlook.com,WellCare,2004-05-18
27,Thomas,Thomas,thomas.thomas@gmail.com,Cigna,
28,William,Garcia,,kaiser permanente,
29,Robert,Moore,robert5@outlook.com,molina healthcare,1978-07-23
30,Maria,Lopez,mlopez@yahoo.com,wellcare,1990-03-25
31,Robert,Davis,rdavis@yahoo.com,,1969-10-20
32,Linda,Rodriguez,linda.rodriguez@gmail.com,aetna,1982-03-24
33,Elizabeth,Davis,elizabeth.davis@gmail.com,wellcare,1969-06-13
34,Barbara,Taylor,barbara.taylor@GMAIL.COM,Ambetter,1950-05-07
35,William,Johnson,william.johnson@GMAIL.COM,bluecross,1968-02-21
36,Charles,Miller,charles.miller@gmail.com,ambetter,1986-08-23
37,Michael,Lopez,michael.lopez@gmail.com,wellcare,1995-11-27
38,Elizabeth,Taylor,,Ambetter,1966-07-11
39,Richard,Garcia,richard.garcia@GMAIL.COM,WellCare,1940-01-14
40,Karen,Hernandez,,cigna,1985-11-10
41,Jennifer,Williams,jennifer.williams@GMAIL.COM,wellcare,1970-01-26
42,Elizabeth,Davis,edavis@yahoo.com,,1982-08-17
43,charles,Miller,,united health,1953-03-28
44,Patricia,Wilson,pwilson@yahoo.com,ambetter,1944-07-03
45,Robert,Anderson,robert.anderson@GMAIL.COM,kaiser permanente,1979-09-15
46,Sarah,Anderson,,cigna,1962-03-07
47,Jessica,Davis,,Cigna,1961-01-13
48,Robert,Jones,,ambetter,
49,susan,Johnson,,aetna,1992-05-26
50,Charles,Gonzalez,charles.gonzalez@gmail.com,Bright Health,1974-12-27
51,Sarah,Martin,,Centene,
52,Richard,Garcia,rgarcia@yahoo.com,centene,1975-05-08
53,Susan,Jones,sjones@yahoo.com,BlueCross,1969-05-14
54,Richard,Rodriguez,,Oscar Health,
55,Barbara,DAVIS,barbara.davis@gmail.com,,1942-10-13
56,Robert,Davis,,wellcare,1959-07-22
57,Karen,Martin,karen.martin@gmail.com,Kaiser Permanente,1949-09-12
58,Richard,Gonzalez,rgonzalez@yahoo.com,Cigna,1996-04-09
59,Karen,Brown,karen.brown@gmail.com,Bright Health,1999-05-07
60,Susan,Thomas,,Bright Health,1981-03-30
61,William,Martin,,cigna,2005-08-01
62,john,Rodriguez,jrodriguez@yahoo.com,cigna,1999-12-12
63,Jennifer,THOMAS,jennifer28@outlook.com,Oscar Health,1993-06-25
64,Michael,Williams,,united health,1961-07-23
65,James,Williams,jwilliams@yahoo.com,aetna,1967-06-21
66,Barbara,Wilson,barbara.wilson@GMAIL.COM,Ambetter,1980-09-15
67,Michael,Hernandez,michael.hernandez@GMAIL.COM,ambetter,1959-05-31
68,thomas,Martin,thomas.martin@gmail.com,Molina Healthcare,1972-05-17
69,William,Johnson,william.johnson@GMAIL.COM,WellCare,1951-04-30
70,James,Jackson,,united health,1956-07-16
71,Patricia,Williams,,Cigna,
72,Elizabeth,Williams,elizabeth.williams@gmail.com,kaiser permanente,1994-05-24
73,Richard,Anderson,richard57@outlook.com,molina healthcare,1967-05-25
74,Patricia,Miller,pmiller@yahoo.com,Oscar Health,1954-02-02
75,Susan,Anderson,susan.anderson@GMAIL.COM,united health,1960-10-07
76,John,Davis,john.davis@GMAIL.COM,wellcare,1957-09-30
77,William,Jones,william.jones@gmail.com,Kaiser Permanente,1993-05-20
78,Patricia,Anderson,patricia89@outlook.com,ambetter,1964-06-03
79,Maria,Wilson,maria95@outlook.com,centene,1948-03-11
80,Charles,Smith,charles98@outlook.com,,1955-09-19
81,Jennifer,Jackson,,Cigna,1976-08-19
82,David,Wilson,,WellCare,1975-12-05
83,David,Rodriguez,david.rodriguez@gmail.com,aetna,1940-02-07
84,Michael,Taylor,michael.taylor@GMAIL.COM,united health,1944-08-18
85,Joseph,THOMAS,joseph.thomas@gmail.com,oscar health,1961-06-20
86,Susan,Williams,susan.williams@gmail.com,cigna,1998-02-09
87,Thomas,Rodriguez,,united health,1989-06-15
88,robert,Williams,,Ambetter,1985-07-20
89,Charles,Jackson,,Humana,1983-06-14
90,Joseph,Hernandez,jhernandez@yahoo.com,molina healthcare,
91,Richard,Gonzalez,rgonzalez@yahoo.com,united health,1951-04-29
92,Joseph,Brown,,Aetna,1976-10-12
93,William,Hernandez,,,1969-06-23
94,David,Thomas,david.thomas@gmail.com,,1996-08-15
95,john,Wilson,john.wilson@gmail.com,cigna,1966-11-12
96,Elizabeth,Lopez,,Humana,1976-12-19
97,John,Martin,john.martin@GMAIL.COM,wellcare,1992-04-25
98,William,Smith,william60@outlook.com,wellcare,1946-08-17
99,Susan,Rodriguez,susan59@outlook.com,Molina Healthcare,1983-05-08
100,Elizabeth,Martinez,,,2001-07-11
101,Jessica,Martinez,jessica.martinez@GMAIL.COM,Bright Health,1957-01-21
102,Robert,Brown,robert.brown@gmail.com,WellCare,1942-12-29
